Provincia;Latitud;Longitud;Edad Aprox.;Sexo;Motivo Desaparción;Motivo Desaparción Obs.;Fecha Desaparición;Situación Actual;Fecha Localización
LOJA;-4,2186766;-79,2606199;24;MUJER;SIN_DATO;SIN_DATO;01/11/2022;DESAPARECIDO;SIN_DATO
LOJA;-4,2186766;-79,2606199;1;MUJER;SIN_DATO;SIN_DATO;01/11/2022;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,132123505;-78,49384595;6;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;10/08/2022;ENCONTRADO;12/09/2022
GUAYAS;-2,1409374;-79,9094386;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;26/06/2022;ENCONTRADO;24/07/2022
EL ORO;-3,481599216;-80,21816912;17;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;14/05/2022;ENCONTRADO;27/06/2022
PICHINCHA;-0,2575728;-78,5164078;54;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;24/10/2022;ENCONTRADO;27/10/2022
GUAYAS;-2,169766555;-79,83879632;27;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;25/06/2022;ENCONTRADO;28/06/2022
LOS RIOS;-1,628988296;-79,69576426;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;10/06/2022;ENCONTRADO;04/07/2022
LOS RIOS;-1,566860387;-79,47319543;16;MUJER;PROBLEMAS FAMILIARES;MALTRATO PSICOLOGICO;16/05/2022;ENCONTRADO;18/05/2022
COTOPAXI;-0,737474991;-79,14486832;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;27/06/2022;ENCONTRADO;29/06/2022
SANTO DOMINGO DE LOS TSACHILAS;-0,226249286;-79,19039315;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;10/08/2022;ENCONTRADO;13/08/2022
SANTO DOMINGO DE LOS TSACHILAS;-0,3229096;-78,9952754;13;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;23/06/2022;ENCONTRADO;28/06/2022
PICHINCHA;-0,261842929;-78,53829798;30;MUJER;PROBLEMAS SOCIALES;DELINCUENCIA;23/06/2022;ENCONTRADO;29/06/2022
PICHINCHA;-0,205850371;-78,49245325;26;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;11/08/2022;ENCONTRADO;13/08/2022
EL ORO;-3,2597312;-79,9302177;30;HOMBRE;SIN_DATO;SIN_DATO;31/01/2022;DESAPARECIDO;SIN_DATO
GUAYAS;-2,122854697;-79,95301046;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;24/06/2022;ENCONTRADO;29/06/2022
PICHINCHA;-0,0875297;-78,4689224;41;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;30/06/2022;ENCONTRADO;14/08/2022
PICHINCHA;-0,19009779;-78,50952566;22;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;27/06/2022;ENCONTRADO;30/06/2022
PICHINCHA;-0,0940492;-78,4510101;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;14/06/2022;ENCONTRADO;03/07/2022
IMBABURA;0,337929656;-78,11319429;18;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;12/08/2022;ENCONTRADO;15/08/2022
GUAYAS;-2,1676477;-79,4650153;20;HOMBRE;PROBLEMAS FAMILIARES;MALTRATO PATRIMONIAL;02/09/2022;ENCONTRADO;09/09/2022
LOJA;-4,003298767;-79,19529009;16;MUJER;SIN_DATO;SIN_DATO;12/08/2022;DESAPARECIDO;SIN_DATO
GUAYAS;-1,7139925;-79,985009;20;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;30/03/2022;ENCONTRADO;10/09/2022
CARCHI;0,586273969;-77,8244001;26;HOMBRE;SIN_DATO;SIN_DATO;26/06/2022;DESAPARECIDO;SIN_DATO
CAÑAR;-2,811631039;-78,88442077;22;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;14/08/2022;ENCONTRADO;21/08/2022
COTOPAXI;-0,785153861;-78,64440655;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;15/08/2022;ENCONTRADO;17/08/2022
MANABI;-0,962607745;-80,69038708;21;HOMBRE;SIN_DATO;SIN_DATO;28/06/2022;DESAPARECIDO;SIN_DATO
GUAYAS;-2,192882252;-79,89002458;76;MUJER;DISCAPACIDADES Y ENFERMEDADES;ALZHEIMER;05/07/2022;ENCONTRADO;07/07/2022
PICHINCHA;0,0461868;-78,2199645;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;06/06/2022;ENCONTRADO;11/08/2022
IMBABURA;0,344748641;-78,12668652;68;MUJER;DISCAPACIDADES Y ENFERMEDADES;ALZHEIMER;05/08/2022;ENCONTRADO;17/08/2022
AZUAY;-3,3365341;-79,0630932;44;MUJER;PROBLEMAS FAMILIARES;MALTRATO PSICOLOGICO;15/08/2022;ENCONTRADO;17/08/2022
GUAYAS;-2,1401749;-79,8919811;17;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;31/05/2022;ENCONTRADO;07/07/2022
GUAYAS;-2,1401749;-79,8919811;12;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;31/05/2022;ENCONTRADO;07/07/2022
GUAYAS;-2,1401749;-79,8919811;18;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;31/05/2022;ENCONTRADO;07/07/2022
GUAYAS;-2,261740818;-79,87879222;1;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;08/05/2022;ENCONTRADO;17/08/2022
BOLIVAR;-1,571801437;-79,00456137;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;02/07/2022;ENCONTRADO;08/07/2022
GUAYAS;-2,171775019;-79,83010069;6;MUJER;SIN_DATO;SIN_DATO;28/03/2022;DESAPARECIDO;SIN_DATO
GUAYAS;-2,1765929;-79,8871469;11;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;25/08/2022;ENCONTRADO;07/09/2022
EL ORO;-3,267448278;-79,9545919;18;HOMBRE;PROBLEMAS SOCIALES;DROGADICCION;06/07/2022;ENCONTRADO;20/09/2022
GUAYAS;-2,1184277;-79,9474463;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;31/07/2022;ENCONTRADO;22/08/2022
CHIMBORAZO;-1,682433948;-78,63451481;3;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;02/07/2022;ENCONTRADO;12/07/2022
PICHINCHA;-0,0960488;-78,4240328;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;06/01/2022;ENCONTRADO;10/07/2022
CAÑAR;-2,742749806;-78,84793276;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;22/10/2022;ENCONTRADO;05/11/2022
MANABI;-0,924841782;-80,2028009;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;05/06/2022;ENCONTRADO;07/07/2022
SUCUMBIOS;0,108259487;-76,87740484;12;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;09/07/2022;ENCONTRADO;13/07/2022
LOS RIOS;-1,0228962;-79,4687487;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;11/08/2022;ENCONTRADO;17/08/2022
GUAYAS;-2,1776944;-79,8933807;17;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;21/05/2022;ENCONTRADO;29/07/2022
PICHINCHA;-0,0866231;-78,4233629;13;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;07/04/2022;ENCONTRADO;13/04/2022
PICHINCHA;-0,2458316;-78,5128388;13;HOMBRE;PROBLEMAS ACADÉMICOS;BAJO RENDIMIENTO;12/07/2022;ENCONTRADO;14/07/2022
EL ORO;-3,257966632;-79,9598302;9;HOMBRE;PERDIDO;NINOS NINAS PERDIDOS;13/07/2022;ENCONTRADO;13/07/2022
MANABI;-0,978562405;-80,70426492;13;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;11/07/2022;ENCONTRADO;14/07/2022
CHIMBORAZO;-1,674136971;-78,64198207;62;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;17/09/2022;ENCONTRADO;19/09/2022
EL ORO;-3,476770949;-80,22200834;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;17/06/2022;ENCONTRADO;24/08/2022
PASTAZA;-1,493693438;-78,00966295;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;13/07/2022;ENCONTRADO;19/07/2022
PICHINCHA;-0,1888243;-78,4912654;44;MUJER;PROBLEMAS ACADÉMICOS;BULLYING (MALTRATO ESCOLAR);07/08/2022;ENCONTRADO;20/08/2022
CAÑAR;-2,7409471;-78,8488227;21;MUJER;PROBLEMAS PSICOLÓGICOS;BIPOLARIDAD;24/08/2022;ENCONTRADO;08/09/2022
AZUAY;-2,892524;-79,0009869;22;HOMBRE;SIN_DATO;SIN_DATO;09/02/2022;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,291908909;-78,52076769;11;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;08/08/2022;ENCONTRADO;22/08/2022
PICHINCHA;-0,291908909;-78,52076769;13;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;08/08/2022;ENCONTRADO;22/08/2022
GUAYAS;-2,099486558;-79,93234634;18;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;01/05/2022;ENCONTRADO;16/07/2022
PICHINCHA;-0,1366775;-78,4689313;24;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;17/07/2022;ENCONTRADO;18/07/2022
TUNGURAHUA;-1,2466443;-78,6164659;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;10/08/2022;ENCONTRADO;25/08/2022
GUAYAS;-2,0503698;-79,9134842;7;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;17/08/2022;ENCONTRADO;25/08/2022
CHIMBORAZO;-1,651218632;-78,69488604;5;MUJER;PERDIDO;NINOS NINAS PERDIDOS;16/07/2022;ENCONTRADO;17/07/2022
GUAYAS;-2,1287154;-79,5932423;20;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;12/09/2022;ENCONTRADO;13/09/2022
ESMERALDAS;0,877572319;-79,81645754;16;MUJER;SIN_DATO;SIN_DATO;05/06/2022;DESAPARECIDO;SIN_DATO
IMBABURA;0,3460287;-78,1332284;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;01/01/2022;ENCONTRADO;05/01/2022
CAÑAR;-2,8178169;-78,901948;21;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;04/01/2022;ENCONTRADO;10/01/2022
EL ORO;-3,327951143;-79,80187342;22;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;29/11/2022;ENCONTRADO;08/12/2022
GUAYAS;-2,2183157;-79,8985986;32;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;02/01/2022;ENCONTRADO;12/01/2022
PICHINCHA;-0,29686442;-78,53525532;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;10/01/2022;ENCONTRADO;11/01/2022
GUAYAS;-2,2514992;-79,8793833;29;HOMBRE;FALLECIDO;ACCIDENTAL;08/01/2022;FALLECIDO;13/01/2022
EL ORO;-3,250829608;-79,97301446;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;11/01/2022;ENCONTRADO;13/01/2022
GUAYAS;-2,1765929;-79,8871469;16;HOMBRE;PROBLEMAS PSICOLÓGICOS;PROBLEMAS DE CONDUCTA;14/08/2022;ENCONTRADO;27/08/2022
EL ORO;-3,481071443;-80,23377257;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;25/06/2022;ENCONTRADO;22/09/2022
TUNGURAHUA;-1,256611152;-78,6218113;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;12/01/2022;ENCONTRADO;15/01/2022
CHIMBORAZO;-1,655533197;-78,69550622;15;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;12/01/2022;ENCONTRADO;14/01/2022
EL ORO;-3,262327356;-79,95952657;8;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;17/01/2022;ENCONTRADO;17/01/2022
EL ORO;-3,481071443;-80,23377257;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;25/06/2022;ENCONTRADO;22/09/2022
EL ORO;-3,269568556;-79,96883058;6;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;13/01/2022;ENCONTRADO;27/01/2022
PASTAZA;-1,511070809;-78,01393947;2;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;19/01/2022;ENCONTRADO;20/01/2022
PICHINCHA;-0,2539789;-78,5315344;30;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;20/01/2022;ENCONTRADO;22/01/2022
AZUAY;-2,8757185;-79,0450752;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;23/01/2022;ENCONTRADO;25/01/2022
MANABI;-0,941509549;-80,73274255;28;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;02/07/2022;ENCONTRADO;21/07/2022
COTOPAXI;-0,932076442;-78,64811274;37;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;10/07/2022;ENCONTRADO;21/07/2022
EL ORO;-3,248475795;-79,94915057;20;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;29/01/2022;ENCONTRADO;31/01/2022
IMBABURA;0,3446489;-78,126154;15;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;10/09/2022;ENCONTRADO;13/09/2022
PICHINCHA;-0,0949207;-78,4737736;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;17/01/2022;ENCONTRADO;23/01/2022
PICHINCHA;-0,3087672;-78,5339411;12;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;27/01/2022;ENCONTRADO;01/02/2022
CHIMBORAZO;-1,6719386;-78,6442159;24;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;30/01/2022;ENCONTRADO;01/02/2022
LOS RIOS;-1,021928311;-79,47306211;12;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;05/09/2022;ENCONTRADO;20/09/2022
GUAYAS;-2,0550617;-79,955937;49;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;21/07/2022;ENCONTRADO;24/07/2022
PICHINCHA;-0,1895296;-78,5071575;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;22/07/2022;ENCONTRADO;25/07/2022
CARCHI;0,796756483;-77,73504162;10;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;06/02/2022;ENCONTRADO;10/02/2022
PICHINCHA;-0,1150344;-78,494021;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;01/02/2022;ENCONTRADO;07/02/2022
GUAYAS;-2,08799612;-79,89979879;18;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;17/01/2022;ENCONTRADO;08/02/2022
GUAYAS;-2,179030259;-79,83260592;59;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;14/01/2022;ENCONTRADO;08/02/2022
EL ORO;-3,2581112;-79,9553924;19;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;06/02/2022;ENCONTRADO;08/02/2022
LOS RIOS;-0,939145698;-79,33259037;17;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;22/01/2022;ENCONTRADO;10/02/2022
GUAYAS;-2,1736169;-79,8275733;11;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;04/07/2022;ENCONTRADO;23/07/2022
GUAYAS;-2,2052242;-79,8993464;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;11/02/2022;ENCONTRADO;15/02/2022
PICHINCHA;0,040782765;-78,14621335;21;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;15/02/2022;ENCONTRADO;24/03/2022
SUCUMBIOS;0,086727197;-76,88791673;33;HOMBRE;PROBLEMA ECÓNOMICOS;DEUDAS;13/02/2022;ENCONTRADO;16/03/2022
GUAYAS;-2,1431673;-79,8794521;22;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;15/02/2022;ENCONTRADO;17/02/2022
COTOPAXI;-0,935099929;-78,61331463;59;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;ALZHEIMER;17/02/2022;ENCONTRADO;21/02/2022
SANTO DOMINGO DE LOS TSACHILAS;-0,2605568;-79,1696899;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;13/02/2022;ENCONTRADO;19/02/2022
GUAYAS;-2,1894128;-79,8890662;19;HOMBRE;PROBLEMAS SOCIALES;DROGADICCION;05/02/2022;ENCONTRADO;23/02/2022
PICHINCHA;-0,2726816;-78,5238191;17;MUJER;PROBLEMAS FAMILIARES;MALTRATO PSICOLOGICO;21/02/2022;ENCONTRADO;25/02/2022
PICHINCHA;-0,2726816;-78,5238191;14;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;23/02/2022;ENCONTRADO;24/02/2022
PICHINCHA;-0,123357879;-78,46852681;16;HOMBRE;PROBLEMAS SOCIALES;MIGRACION;10/03/2022;ENCONTRADO;26/07/2022
AZUAY;-2,919097412;-79,01777561;29;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;28/02/2022;ENCONTRADO;03/03/2022
CARCHI;0,5948949;-77,8281514;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;24/07/2022;ENCONTRADO;25/07/2022
PICHINCHA;-0,1881879;-78,4463192;22;MUJER;SIN_DATO;SIN_DATO;21/03/2022;DESAPARECIDO;SIN_DATO
MANABI;-0,9676533;-80,7089101;28;HOMBRE;FALLECIDO;NO DETERMINADA;08/02/2022;FALLECIDO;03/03/2022
GUAYAS;-2,087928561;-79,89947841;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;01/03/2022;ENCONTRADO;04/03/2022
ESMERALDAS;1,283442328;-78,82926464;33;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;23/01/2022;ENCONTRADO;03/02/2022
PICHINCHA;-0,24411;-78,5163894;12;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;03/03/2022;ENCONTRADO;07/03/2022
PASTAZA;-1,4928811;-77,9998034;26;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;05/02/2022;ENCONTRADO;08/03/2022
LOS RIOS;-1,553602538;-79,75413322;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;06/03/2022;ENCONTRADO;09/03/2022
CHIMBORAZO;-1,6825524;-78,6620483;19;HOMBRE;PROBLEMAS SOCIALES;DROGADICCION;07/02/2022;ENCONTRADO;09/03/2022
ESMERALDAS;0,880341063;-79,81856878;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;24/01/2022;ENCONTRADO;11/03/2022
IMBABURA;0,349198596;-78,1135774;14;MUJER;PROBLEMAS PSICOLÓGICOS;PROBLEMAS DE CONDUCTA;09/03/2022;ENCONTRADO;13/03/2022
AZUAY;-2,9030726;-79,0371709;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;29/01/2022;ENCONTRADO;11/03/2022
GUAYAS;-2,142649791;-79,58740711;22;HOMBRE;FALLECIDO;ASESINATO;16/02/2022;FALLECIDO;08/04/2022
EL ORO;-3,250730034;-79,98130332;17;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;11/03/2022;ENCONTRADO;12/03/2022
AZUAY;-3,062896;-79,066052;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;10/03/2022;ENCONTRADO;13/03/2022
